WARN 2012-12-18 12:02:32,143 [com.fortify.server.configuration.ConfigurationMain] - Unconfigured property file found: AMConfig.properties

INFO 2012-12-18 12:30:58,677 [liquibase] - Successfully acquired change log lock

INFO 2012-12-18 12:30:59,898 [liquibase] - Reading from DATABASECHANGELOG

INFO 2012-12-18 12:30:59,908 [liquibase] - Reading from DATABASECHANGELOG

INFO 2012-12-18 12:31:04,124 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_0::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,134 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_1::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,144 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_2::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,154 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_3::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,154 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_4::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,164 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_5::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,174 [liquibase] - ChangeSet dbF360_3.5.0.xml::f360_3.5.0_6::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,184 [liquibase] - ChangeSet dbF360_3.51.0.xml::f360_3.51.0_0::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,225 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_0::hp ran successfully in 41ms

INFO 2012-12-18 12:31:04,275 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_1::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,295 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_2::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,295 [liquibase] - Marking ChangeSet: dbF360Derby_3.6.0.xml::f360_3.6.0_0::hp::(Checksum: 3:273e3a7f38092542df58e20e53112d64) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected derby, got db2


INFO 2012-12-18 12:31:04,305 [liquibase] - ChangeSet dbF360Db2_3.6.0.xml::f360Db2_3.6.0_0::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,315 [liquibase] - ChangeSet dbF360Db2_3.6.0.xml::f360Db2_3.6.0_1::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,325 [liquibase] - Marking ChangeSet: dbF360Mysql_3.6.0.xml::f360Mysql_3.6.0_0::hp::(Checksum: 3:4e2c07554d212d848c9a65de7850048d) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected mysql, got db2


INFO 2012-12-18 12:31:04,335 [liquibase] - Marking ChangeSet: dbF360Mssql_3.6.0.xml::f360Mssql_3.6.0_0::hp::(Checksum: 3:ff628336ce7a33e0e9e0e36b7779194c) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected mssql, got db2


INFO 2012-12-18 12:31:04,335 [liquibase] - Marking ChangeSet: dbF360Oracle_3.6.0.xml::f360Oracle_3.6.0_0::hp::(Checksum: 3:67b3f4921dc0707679dc37687c5b5cff) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected oracle, got db2


INFO 2012-12-18 12:31:04,345 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_4::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,345 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_5::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,355 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_6::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,375 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_7::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,375 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_8::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,385 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_9::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,395 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_10::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,405 [liquibase] - Marking ChangeSet: dbF360_3.6.0.xml::f360_3.6.11.1::hp::(Checksum: 3:910ccae5b4754887893c31298c6676db) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : Not precondition failed


INFO 2012-12-18 12:31:04,405 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.11.2::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,415 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_12_fix::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,445 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_12::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,455 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_13::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,465 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_14::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,485 [liquibase] - ChangeSet dbF360_3.6.0.xml::f360_3.6.0_15::hp ran successfully in 10ms

INFO 2012-12-18 12:31:04,485 [liquibase] - ChangeSet dbF360_3.6.1.xml::f360_3.6.1_0::hp ran successfully in 0ms

INFO 2012-12-18 12:31:04,515 [liquibase] - ChangeSet dbF360_3.7.0.xml::f360_3.7.0_0::hp ran successfully in 20ms

INFO 2012-12-18 12:31:04,515 [liquibase] - Marking ChangeSet: dbF360Derby_3.7.0.xml::f360_3.7.0_0::hp::(Checksum: 3:4d8816787bc79723ce2eaa1825717aa5) ran despite precondition failure due to onFail='MARK_RAN': 
          dbMaster.xml : DBMS Precondition failed: expected derby, got db2


INFO 2012-12-18 12:31:04,525 [liquibase] - ChangeSet dbF360Db2_3.7.0.xml::f360Db2_3.7.0_0::hp ran successfully in 0ms

